season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,sacks,sacksOpponent,tacklesForLoss,tacklesForLossOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2025,Miami,ACC,349,273,15,15,22,29,3,9,9,3,16,3,0,306,47,12,16,0,0,368,154,17,8,4051,3278,496,521,355,312,16,12,32,13,112,72,916,604,31751,25849,0,1,307,59,24,14,564,483,28,12,2428,1429,50,20,102,58,93,66,200,213,6479,4707,15,25
2025,Miami (OH),Mid-American,247,261,11,11,26,23,4,6,6,4,14,1,1,148,190,11,14,1,1,555,681,21,26,2622,2805,368,436,183,247,14,11,17,22,78,76,688,555,25035,25365,1,0,194,99,20,10,492,501,17,12,2111,1879,41,26,81,54,61,86,176,202,4733,4684,15,20
2025,Michigan,Big Ten,262,239,7,17,18,29,7,6,5,7,13,0,0,24,55,10,13,0,0,424,331,24,19,2428,2748,340,426,202,271,13,10,11,17,57,67,508,562,23235,23565,0,0,75,119,18,17,497,424,33,14,2745,1459,28,21,76,54,72,67,165,179,5173,4207,17,19
2025,Michigan State,Big Ten,226,234,12,11,27,23,6,4,5,6,12,0,1,0,57,6,5,1,0,325,274,13,17,2672,2776,378,367,240,242,5,6,20,23,63,64,539,507,21740,21301,0,2,150,398,12,27,388,387,16,21,1472,1783,22,37,56,93,55,63,159,150,4144,4559,12,9
2025,Middle Tennessee,Conference USA,235,259,7,10,26,16,5,4,5,6,12,0,0,126,107,7,10,0,0,382,217,18,13,3179,3074,499,374,298,241,10,7,23,31,87,55,812,524,20710,22490,0,0,109,142,16,12,314,433,11,17,1273,1757,22,30,62,62,65,63,175,161,4452,4831,12,14
2025,Minnesota,Big Ten,222,229,6,9,14,15,2,7,7,3,13,2,1,168,132,7,9,0,1,554,274,24,12,2469,2737,399,370,251,248,9,7,19,16,49,74,403,630,22924,23501,0,1,117,181,21,17,375,421,15,16,1345,1582,39,23,92,60,67,67,167,166,3814,4319,9,16
2025,Mississippi State,SEC,281,282,13,8,29,16,6,5,5,6,13,0,3,132,111,9,13,0,1,118,350,9,14,3138,2893,390,396,243,239,13,9,20,24,94,110,801,919,22377,24123,0,1,179,158,13,14,550,492,29,19,2051,2432,21,44,56,98,82,74,192,179,5189,5325,15,18
2025,Missouri,SEC,300,205,13,10,22,18,6,5,5,6,13,3,0,142,89,11,7,0,0,421,554,21,32,2449,2255,361,379,229,215,7,11,15,15,71,89,665,704,24848,21952,1,0,218,83,18,11,556,417,31,12,2970,1323,37,28,90,64,79,66,176,187,5419,3578,17,12
2025,Missouri State,Conference USA,266,267,8,9,13,19,7,7,8,7,13,0,1,109,229,11,8,0,1,619,513,32,30,3636,2983,435,412,277,265,8,11,30,19,99,97,864,989,24448,22352,0,1,97,259,16,20,411,428,12,26,1478,2006,24,52,53,112,62,70,171,174,5114,4989,18,15
2025,NC State,ACC,265,276,13,9,26,22,3,6,6,3,13,1,1,157,252,10,9,0,1,292,653,16,28,3194,3551,413,469,280,295,9,10,26,22,72,91,699,841,23359,23441,0,0,59,201,14,15,423,415,27,17,1912,1812,20,24,66,75,68,84,165,184,5106,5363,13,15
